CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
-,-,-,-,18700,-4.87,15.89,1.3,14.3
-,-,-,-,18750,-5.12,15.39,1.7,14.7
-,-,-,-,18800,-5.76,15.18,2.2,16.6
-,-,-,-,18900,-6.99,14.56,3.5,20
820.85,95.5,0,0,18950,-,-,-,-
826.5,94.5,12.46,93.7,19000,-7.81,13.46,5.4,21.05
619.75,93.3,0,0,19050,-,-,-,-
790.7,91.9,18.35,82.13,19100,-10.24,13.18,8,28.5
722.95,88.5,19.23,77.56,19200,-12.37,12.39,11.4,33.7
752,86.4,23.88,71.57,19250,-26.99,22.05,13.5,163.8
612.8,84.1,16.65,76.66,19300,-15.94,12.01,15.8,44.7
607.4,81.6,18.86,72.08,19350,-18.26,11.93,18.3,52.65
518.05,78.9,15.17,73.94,19400,-20.44,11.66,21,59.45
447.9,75.9,12.8,74.65,19450,-23.38,11.66,24,70.75
434.65,72.8,14.32,69.69,19500,-25.86,11.26,27.1,78.05
400,69.4,14.25,66.89,19550,-28.99,11.08,30.5,89.45
367.6,65.9,14.23,63.91,19600,-32.22,10.77,34,100.5
328.9,62.3,13.75,61.18,19650,-35.9,10.57,37.6,114.65
296.3,58.5,13.55,58.04,19700,-39.85,10.36,41.4,130.45
260.25,54.7,13.06,54.84,19750,-44.15,10.32,45.2,151.35
234,50.8,13.05,51.37,19800,-48.52,9.98,49.1,169
204.4,47,12.74,47.81,19850,-53.41,9.19,52.9,181.05
171.75,43.2,12.15,43.94,19900,-58.55,8.93,56.7,204.9
158.5,39.4,12.58,40.66,19950,-62.49,9.57,60.5,246.45
132.75,35.8,12.17,36.76,20000,-67.94,8.99,64.1,270
117.8,32.3,12.3,33.5,20050,-71.17,9.5,67.6,313
98.3,28.9,12.03,29.82,20100,-74.53,9.74,71,353.25
72.7,22.8,12.05,23.74,20200,-89.35,7,77.1,404.2
50.15,17.5,11.85,18,20300,-85.97,10.1,82.4,520
36,13,11.95,13.71,20400,-,-,-,-
32,11.1,12.19,12.25,20450,-,-,-,-
26,9.5,12.11,10.37,20500,-,-,-,-
32.35,8,13.52,11.36,20550,-,-,-,-
14.7,4.6,12.73,6.15,20700,-,-,-,-
11.5,3,13.14,4.85,20800,-,-,-,-
12.2,2.5,13.81,4.89,20850,-,-,-,-
9.4,2,13.63,3.95,20900,-,-,-,-
12.95,1.6,15.01,4.8,20950,-,-,-,-
7.85,1.2,14.15,3.26,21000,0,0,98.7,1049.95
6.15,0.2,16.29,2.33,21300,-,-,-,-
