CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
8800,100,0,0,11000,-0.16,32.1,0,2.05
-,-,-,-,12000,-0.25,28.85,0,3.05
7164,99.9,42.15,95.56,13000,-0.71,27.91,0,9.05
-,-,-,-,14000,-1.45,26.03,0,18.6
-,-,-,-,14500,-0.41,19.11,0,3.35
5140,99.8,28.76,94.83,15000,-2.18,22.71,0.1,25.55
4190.9,99.1,26.31,91.79,16000,-3.32,19.37,0.8,34.95
3850,98,29.78,86.29,16500,-,-,-,-
3269.3,96,23.86,87.09,17000,-6.13,16.87,3.9,61.6
2830.7,92.5,22.85,83.67,17500,-8.55,15.71,7.4,84.9
2374.25,87.4,20.93,80.31,18000,-12.01,14.57,12.5,118.45
1909.25,80.3,18.53,76.48,18500,-,-,-,-
1542.85,71.6,18.04,69.61,19000,-24.4,12.55,28.3,249.3
837.45,51,15.45,53.03,20000,-47.14,10.16,48.9,508.65
339.45,31.1,13.3,31.4,21000,-93.03,4.71,68.8,967.45
107.8,16.2,12.35,13.55,22000,0,0,83.7,1706.2
54,7.2,13.71,6.99,23000,0,0,92.7,2555
33.15,2.8,15.35,4.18,24000,-,-,-,-
25.1,0.9,17.26,2.97,25000,-,-,-,-
